experiment,n_student_modules,cutoff,q,base_unresolved_rate,post_unresolved_rate,absolute_resolution_gain,remaining_unresolved_students,mixed_cells,declared_cost,gain_per_cost
vle_engagement,32593,120,5,1.0,0.9996318227840334,0.0003681772159666,32581,24,1.0,0.0003681772159666
assessment_count,32593,120,5,1.0,0.9999386377449158,0.0000613622550842,32591,19,1.0,0.0000613622550842
vle_records,32593,120,5,1.0,0.9999386377449158,0.0000613622550842,32591,24,1.0,0.0000613622550842
submission_timing,32593,120,5,1.0,0.9999693188724579,0.0000306811275421,32592,23,1.0,0.0000306811275421
active_days,32593,120,5,1.0,1.0,0.0,32593,24,1.0,0.0
